,price of fairness,viol_coeff,max_unfairness,no_items,no_pos,no_prop
206,0.04287370324043497,1.1368379687139871,0.9324426590843052,15.0,11.0,2.0
207,0.006421107143101684,1.1681235555909872,1.5760432753782112,21.0,15.0,3.0
208,0.0010683237330128272,1.12891489410897,0.9880631500097239,28.0,19.0,2.0
209,-1.4879321682820042e-16,1.1994682992405168,0.8637028562811314,21.0,19.0,2.0
210,0.010231800275687054,1.1063485710080005,1.3136981538241306,14.0,10.0,3.0
211,-1.382298982803874e-16,1.1729305802246244,0.8896945445666244,22.0,16.0,2.0
212,0.0,1.1542561953089812,0.978072956235919,19.0,16.0,2.0
213,0.002063735857692933,1.1931353819109292,0.9022904858782587,13.0,12.0,3.0
214,-3.0269232618202087e-16,1.108486865020542,1.0484557490176873,21.0,14.0,2.0
215,0.0004340845162226535,1.155905855268877,1.1461468143939262,16.0,11.0,2.0
216,1.1515446947868622e-16,1.1511462517255915,0.9525796029626518,17.0,14.0,2.0
217,0.0,1.1253943168820868,1.0535642477219929,28.0,19.0,2.0
218,1.8015367100999112e-16,1.1996019535519094,1.1709022243364267,14.0,11.0,3.0
219,0.00111595314843828,1.1976020224068977,1.3198176891140088,14.0,13.0,4.0
220,0.004355272979454515,1.1535730033004006,1.5284827738989788,24.0,17.0,3.0
221,0.0003450080863914687,1.1072345802458516,1.4306252115749598,11.0,10.0,3.0
222,-1.6670023267350632e-16,1.145801449207252,0.9729680915246152,17.0,12.0,2.0
223,0.03819164523508967,1.120634289323984,1.3226999991343589,13.0,10.0,2.0
224,0.011290614540561761,1.1254183026982865,1.0726316130185318,15.0,13.0,4.0
225,0.03624997073744199,1.1155848442321568,1.1199089394517878,14.0,13.0,3.0
226,0.03111417644868881,1.1678539080052444,1.0518584107212303,20.0,17.0,3.0
227,0.009106433235883171,1.1567479715498399,1.2040885519781748,20.0,16.0,4.0
228,0.010223604811750952,1.1316373212851947,0.9465431867465629,12.0,11.0,4.0
229,0.03709548853956669,1.1302617742676728,0.9221419961484519,15.0,11.0,4.0
230,0.030041032509272706,1.1565445955380733,1.1166934744313055,13.0,10.0,3.0
231,0.0,1.1537058698651967,0.8753112304307399,27.0,18.0,2.0
232,-3.0334579042521724e-16,1.1938713366080553,0.8892659375964542,26.0,18.0,2.0
233,0.02150536884917239,1.1245271592198889,1.3885532367515765,20.0,18.0,3.0
234,-4.711924765706654e-16,1.1949944309354277,1.0366886625563168,25.0,19.0,2.0
235,1.8304346576356475e-16,1.1273605539336842,1.1596295638850618,14.0,11.0,3.0
236,0.025414769597679656,1.1570093852120658,1.1817411391256993,14.0,13.0,4.0
237,0.002568535510904905,1.1615639446445194,1.0116795376396703,23.0,18.0,4.0
238,0.0,1.1330081431449937,0.8918048666340871,16.0,13.0,2.0
239,0.005316834308726716,1.1832101819007066,1.0861630600885075,19.0,17.0,3.0
240,0.0014770112759140699,1.152869558971897,0.9163423222746816,11.0,10.0,3.0
241,0.01474614571572546,1.1743772396961218,0.9260808284398313,29.0,19.0,3.0
242,0.005225682893955853,1.1692324423940537,0.9537877987743898,18.0,13.0,3.0
243,-1.975513108396653e-16,1.1484860513021686,1.1603790019430293,15.0,13.0,2.0
